Distance (mm),T (C),P (atm),He,Ar,Ne,O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),X(1),HX(9),OX(10),HOX(13),H2OX(14),N2X2(25),N2X(26),NOX(27),H2NX(28),H3NX(29),HNX(49),NX(59),NOX2(76),gas_heat,surface_heat,alpha
2.4872727272727277,415.0,1.0000000000000002,0.1079999995099462,0.0,0.0,0.8799999733192915,0.0010000272206784554,3.36603465984065e-15,1.815013726226198e-08,0.0109999817999431,0.0,3.8308804708539605e-06,2.4446515163894244e-16,0.9999779073093734,7.78854098621323e-11,2.431138934505121e-12,4.321850858344836e-23,5.608453071708115e-20,1.822705427088506e-05,3.464347043757975e-08,4.896397435316039e-13,2.7020340755926628e-14,5.013725172163636e-12,2.6749296705902792e-11,1,-2.794824654856015,1.5571574901728895
2.495454545454546,415.0,1.0000000000000002,0.10799999950833417,0.0,0.0,0.879999973231526,0.0010000273102200063,3.377210641364819e-15,1.820984155790673e-08,0.010999981740074594,0.0,3.830880450358046e-06,2.4446515898127636e-16,0.9999779067541339,7.788541265024786e-11,2.431139139166987e-12,4.3221144668228384e-23,5.609026258234025e-20,1.8227609531030724e-05,3.464347023142729e-08,4.896397382470512e-13,2.702034046688835e-14,5.01387788295502e-12,2.6750111436813144e-11,1,-2.794824524887809,1.5571575305182037
2.5036363636363643,415.0,1.0000000000000002,0.10799999950672215,0.0,0.0,0.8799999731437609,0.0010000273997615562,3.3883873036815333e-15,1.8269545852868605e-08,0.01099998168020609,0.0,3.8308804309269755e-06,2.4446516642632406e-16,0.9999779061988757,7.788541544919419e-11,2.4311393445044282e-12,4.322378094293335e-23,5.609599483450212e-20,1.8228164809086882e-05,3.46434700304367e-08,4.896397330985971e-13,2.702034018543287e-14,5.014030600073809e-12,2.6750926201479664e-11,1,-2.794824493148958,1.5571575403707214
2.511818181818182,415.0,1.0000000000000002,0.10799999950511015,0.0,0.0,0.8799999730559954,0.001000027489303105,3.399564646815601e-15,1.8329250147156197e-08,0.010999981620337586,0.0,3.830880409822175e-06,2.44465173709989e-16,0.9999779056436457,7.78854182311072e-11,2.4311395487797368e-12,4.3226417126554556e-23,5.61017271130785e-20,1.8228720058948057e-05,3.46434698213289e-08,4.896397277361934e-13,2.7020339892059487e-14,5.0141833072457235e-12,2.6751740913077342e-11,1,-2.794824472466869,1.557157546790949
2.5200000000000005,415.0,1.0000000000000002,0.10799999950349817,0.0,0.0,0.8799999729682304,0.0010000275788446533,3.4107426707834992e-15,1.8388954440760617e-08,0.010999981560469088,0.0,3.830880390403054e-06,2.444651811561905e-16,0.9999779050883871,7.788542103017322e-11,2.431139754124854e-12,4.3229053563234264e-23,5.61074598595541e-20,1.822927533720871e-05,3.4643469620388e-08,4.896397225890112e-13,2.7020339610676147e-14,5.014336024433364e-12,2.6752555678109945e-11,1,-2.794824443212014,1.5571575558723738
2.5281818181818188,415.0,1.0000000000000002,0.10799999950188614,0.0,0.0,0.8799999728804649,0.0010000276683862002,3.4219213756092242e-15,1.844865873368874e-08,0.010999981500600586,0.0,3.83088036973176e-06,2.4446518848165643e-16,0.9999779045331494,7.788542381649887e-11,2.4311399586752344e-12,4.323168995182042e-23,5.611319268763727e-20,1.8229830594339375e-05,3.464346941338706e-08,4.89639717282199e-13,2.7020339320398387e-14,5.0144887341691465e-12,2.6753370403382198e-11,1,-2.794824403238408,1.5571575682811625
2.5363636363636366,415.0,1.0000000000000002,0.10799999950027411,0.0,0.0,0.8799999727926996,0.0010000277579277459,3.43310076131444e-15,1.8508363025942567e-08,0.010999981440732085,0.0,3.83088034855021e-06,2.4446519575793315e-16,0.9999779039779212,7.788542659763658e-11,2.4311401629021517e-12,4.3234326368401165e-23,5.611892569489492e-20,1.8230385842866006e-05,3.464346920391052e-08,4.896397119100589e-13,2.702033902648204e-14,5.014641440867859e-12,2.6754185112453334e-11,1,-2.79482437242864,1.557157577845271
2.544545454545455,415.0,1.0000000000000002,0.10799999949866208,0.0,0.0,0.8799999727049341,0.0010000278474692906,3.444280827919365e-15,1.8568067317521063e-08,0.010999981380863581,0.0,3.830880327926914e-06,2.4446520308800655e-16,0.9999779034226833,7.78854293844445e-11,2.4311403674826423e-12,4.323696292254544e-23,5.612465902191376e-20,1.82309411007898e-05,3.464346899713786e-08,4.896397066092039e-13,2.7020338736537062e-14,5.014794150881097e-12,2.6754999839206276e-11,1,-2.794824342908785,1.5571575870089596
2.5527272727272727,415.0,0.9999999999999999,0.1079999994970501,0.0,0.0,0.8799999726171692,0.0010000279370108347,3.4554615754429135e-15,1.862777160842046e-08,0.010999981320995085,0.0,3.830880307489363e-06,2.4446521043600533e-16,0.9999779028674417,7.788543217314669e-11,2.4311405721813627e-12,4.323959957604067e-23,5.613039261967319e-20,1.8231496361831752e-05,3.4643468791265606e-08,4.896397013320841e-13,2.7020338447914118e-14,5.0149468619937796e-12,2.6755814571823483e-11,1,-2.794824309515755,1.557157597374977
2.560909090909091,415.0,1.0000000000000007,0.10799999949543808,0.0,0.0,0.8799999725294037,0.0010000280265523773,3.466643003907086e-15,1.8687475898643445e-08,0.010999981261126583,0.0,3.830880286569603e-06,2.444652177375183e-16,0.9999779023122093,7.78854349569475e-11,2.4311407765744407e-12,4.3242236260346e-23,5.613612640024801e-20,1.8232051614731916e-05,3.4643468583055736e-08,4.896396959933451e-13,2.7020338155858746e-14,5.0150995702334865e-12,2.6756629289112696e-11,1,-2.7948242714669522,1.5571576091862611
