Time (s),Volume (m^3),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),OX(10),H2NX(28),HX(9),H3NX(29),HNX(49),HOX(13),H2OX(14),NX(59),NOX2(76),NOX(27),N2X2(25),N2X(26),N2O2(46),O2X2(47),ONOOJ(35)
7.161512436000351e-05,0.05595639656,0.054,0.0,0.0,0.000486690619625261,0.8616959559816656,0.007363937964736775,0.001992739981536959,3.110485823618214e-08,0.06108999007999794,0.0,0.028321870099071392,1.6040816366215977e-07,7.646254800408648e-11,5.974472692795352e-07,3.1248729032069806e-08,4.158684771221525e-09,2.594260093732821e-09,1.0961855841735642e-06,3.945440046339639e-06,0.0009182966749965426,1.1748448918720257e-09,1.8454879539274386e-07,9.113059836669327e-23,5.096158964518332e-15,5.261255085892362e-18
7.180586405085285e-05,0.05595639656,0.054,0.0,0.0,0.00048657588915818414,0.8616927862637829,0.007370162750917185,0.001994676599045244,3.120107187892276e-08,0.0610858404265968,0.0,0.028321708315328133,1.6038106031870471e-07,7.642999377603962e-11,5.972640073935659e-07,3.123839005161978e-08,4.157993844583331e-09,2.595708791346075e-09,1.096262907510971e-06,3.945695820083866e-06,0.0009185727555795403,1.1749828745292758e-09,1.846132549361963e-07,9.169524118744513e-23,5.0961007428447215e-15,5.277509803281466e-18
7.199660374170219e-05,0.05595639656,0.054,0.0,0.0,0.00048646206292309106,0.8616896180460851,0.00737638544028358,0.0019966134889179334,3.129729112041721e-08,0.06108169216977221,0.0,0.028321547570172374,1.6035412870031148e-07,7.639768098908887e-11,5.970819044276539e-07,3.122811818805192e-08,4.157307360583757e-09,2.5971606870167497e-09,1.0963397586384238e-06,3.9459500357249206e-06,0.0009188468955644799,1.1751223661305301e-09,1.846776728024123e-07,9.226166087531111e-23,5.0960428952605514e-15,5.293765357158047e-18
7.218734343255153e-05,0.05595639656,0.054,0.0,0.0,0.0004863491304214254,0.8616864513165002,0.007382606046437541,0.0019985506494983396,3.139351573355588e-08,0.06107754530047147,0.0,0.028321387861753998,1.6032736686118375e-07,7.63656067567477e-11,5.969009469475904e-07,3.121791265940523e-08,4.1566252702520376e-09,2.598615740703775e-09,1.0964161321977117e-06,3.946202673779456e-06,0.0009191191073626713,1.175263333126715e-09,1.847420470131212e-07,9.282985639162242e-23,5.095985421093667e-15,5.310021709108061e-18
7.237808312340087e-05,0.05595639656,0.054,0.0,0.0,0.0004862370812854755,0.8616832860631017,0.007388824582823867,0.0020004880791107058,3.148974549275775e-08,0.06107339980974624,0.0,0.02832122918815772,1.6030077287922985e-07,7.63337682477827e-11,5.967211216876912e-07,3.1207772691714975e-08,4.155947522932738e-09,2.6000739128351842e-09,1.0964920229808263e-06,3.9464537152956155e-06,0.0009193894033182689,1.1754057425010015e-09,1.8480637563125787e-07,9.339982669032957e-23,5.095928319648504e-15,5.3262788209765766e-18
7.25688228142502e-05,0.05595639656,0.054,0.0,0.0,0.0004861259052764835,0.861680122274104,0.007395041062732686,0.0020024257760607425,3.1585980173960876e-08,0.06106925568875109,0.0,0.028321071547404705,1.6027434485567753e-07,7.630216265891214e-11,5.965424155483865e-07,3.119769752094642e-08,4.155274069749034e-09,2.601535164294624e-09,1.0965674259273095e-06,3.946703141843713e-06,0.0009196577957086055,1.17554956176021e-09,1.848706567602574e-07,9.39715707180785e-23,5.095871590206695e-15,5.3425366548661474e-18
7.29503021959489e-05,0.05595639656,0.054,0.0,0.0,0.0004859061323190725,0.8616737990428732,0.007407467905515967,0.0020063019651069547,3.177846341367139e-08,0.06106097152107668,0.0,0.028320759356203887,1.6022197920382047e-07,7.623963921729759e-11,5.961883090511875e-07,3.117773856254583e-08,4.153939852171706e-09,2.6044667509863074e-09,1.096716748792811e-06,3.947197078880304e-06,0.0009201889185702725,1.1758413025365007e-09,1.8499906916398345e-07,9.512037571130431e-23,5.0957592443486564e-15,5.375054338398168e-18
7.333178157764759e-05,0.05595639656,0.054,0.0,0.0,0.00048568973215209137,0.8616674815313038,0.00741988667808786,0.0020101792027313256,3.197096369025829e-08,0.06105269272869493,0.0,0.028320451271105926,1.601702551712285e-07,7.617801473680161e-11,5.958385258972627e-07,3.115802986328324e-08,4.152622236182454e-09,2.6074101967727683e-09,1.0968640631706115e-06,3.947684347574645e-06,0.0009207125728404453,1.1761383056954166e-09,1.851272698398334e-07,9.627626280166736e-23,5.095648377336497e-15,5.4075744616209746e-18
7.371326095934629e-05,0.05595639656,0.054,0.0,0.0,0.00048547662733212124,0.8616611696500523,0.007432297481395059,0.002014057474763761,3.216347926507572e-08,0.06104441924441896,0.0,0.02832014727414181,1.6011915837807752e-07,7.611726807686457e-11,5.95492967044497e-07,3.1138565650193596e-08,4.1513208496702245e-09,2.610365204595878e-09,1.0970093336465308e-06,3.948164818433547e-06,0.000921228854360103,1.1764403293728206e-09,1.852552450138163e-07,9.743922330815869e-23,5.095538982655812e-15,5.440096730482759e-18
7.409474034104498e-05,0.05595639656,0.054,0.0,0.0,0.00048526674231754146,0.8616548633118811,0.007444700414088095,0.0020179367667849234,3.2356008423007676e-08,0.06103615100258987,0.0,0.028319847346463305,1.6006867478992706e-07,7.605737863693531e-11,5.951515359000537e-07,3.111934029455099e-08,4.150035329422534e-09,2.61333148417589e-09,1.097152526944363e-06,3.948638369533548e-06,0.0009217378579267953,1.1767471393710135e-09,1.85382981504263e-07,9.860924844113158e-23,5.095431053476703e-15,5.472620854920108e-18
7.447621972274367e-05,0.05595639656,0.054,0.0,0.0,0.00048506000341771917,0.8616485624316044,0.007457095572578043,0.002021817064141045,3.254854947221099e-08,0.06102788793903911,0.0,0.02831955146838592,1.6001879070875263e-07,7.59983263406419e-11,5.948141382545563e-07,3.110034830780632e-08,4.148765320964919e-09,2.616308751839941e-09,1.0972936118553051e-06,3.949104886272336e-06,0.0009222396773031884,1.1770585089336466e-09,1.8551046670396167e-07,9.978632930490726e-23,5.095324582669284e-15,5.5051465488143874e-18
7.485769910444236e-05,0.05595639656,0.054,0.0,0.0,0.00048485633874338147,0.8616422669260341,0.007469483051092074,0.0020256983519583538,3.274110074385801e-08,0.06101962999105145,0.0,0.028319259619430583,1.5996949276416266e-07,7.5940091621353e-11,5.944806822177324e-07,3.108158433776847e-08,4.147510478286544e-09,2.6192967303574144e-09,1.0974325591691725e-06,3.949564261126402e-06,0.0009227344052256051,1.1773742185260928e-09,1.8563768856267278e-07,1.009704569004075e-22,5.095219562818668e-15,5.537673529948115e-18
7.523917848614106e-05,0.05595639656,0.054,0.0,0.0,0.0004846556781585786,0.8616359767139311,0.007481862941727307,0.0020295806151570017,3.2933660591883337e-08,0.0610113770973292,0.0,0.02831897177836402,1.5992076790488688e-07,7.588265540782317e-11,5.941510781561885e-07,3.106304316490712e-08,4.146270463633625e-09,2.622295148778085e-09,1.0975693416073634e-06,3.950016393414899e-06,0.0009232221334123964,1.177694055622331e-09,1.857646355700681e-07,1.0216162212769808e-22,5.0951159862394975e-15,5.570201519962018e-18
7.562065786783975e-05,0.05595639656,0.054,0.0,0.0,0.0004844579532342992,0.8616296917159539,0.007494235334502938,0.0020334638384645067,3.3126227392734493e-08,0.06100312919795747,0.0,0.028318687923237468,1.5987260339055584e-07,7.582599911040686e-11,5.938252386333018e-07,3.104471969876923e-08,4.1450449472991076e-09,2.6253037422772143e-09,1.097703933758369e-06,3.950461189072435e-06,0.0009237029525721625,1.1780178144999039e-09,1.858912967393037e-07,1.0335981578854193e-22,5.095013844989882e-15,5.6027302443127425e-18
7.600213724953844e-05,0.05595639656,0.054,0.0,0.0,0.00048426309720349885,0.8616234118546114,0.007506600317410967,0.002037348006428727,3.3318799545124366e-08,0.06099488623437044,0.0,0.028318408031424065,1.5982498678372165e-07,7.577010460776092e-11,5.935030783509578e-07,3.102660897451252e-08,4.143833607412095e-09,2.6283222520047617e-09,1.0978363120151688e-06,3.950898560428529e-06,0.0009241769524119224,1.1783452960413009e-09,1.8601766159107723e-07,1.0456502858890018e-22,5.09491313088486e-15,5.6352594322308664e-18
7.638361663123714e-05,0.05595639656,0.054,0.0,0.0,0.0004840710449173644,0.8616171370542158,0.007518957976465678,0.0020412331034304404,3.351137546978451e-08,0.06098664814931848,0.0,0.028318132079655032,1.5977790594208944e-07,7.571495423390002e-11,5.931845140929023e-07,3.100870614953604e-08,4.142636129739289e-09,2.631350424938508e-09,1.0979664545142947e-06,3.9513284259929105e-06,0.0009246442216452678,1.1786763075408138e-09,1.8614372013806417e-07,1.0577725114139562e-22,5.094813835509411e-15,5.667788816679079e-18
7.676509601293583e-05,0.05595639656,0.054,0.0,0.0,0.00048388173280279953,0.8616108672408374,0.007531308395751875,0.0020451191136955154,3.370395360921995e-08,0.060978414886836016,0.0,0.02831786004405464,1.59731349010959e-07,7.566053076565698e-11,5.928694646696872e-07,3.099100650020698e-08,4.141452207488721e-09,2.634388013741007e-09,1.098094341076524e-06,3.951750710246571e-06,0.0009251048480004738,1.1790106625168563e-09,1.8626946286975997e-07,1.0699647396773753e-22,5.094715950231038e-15,5.70031813431058e-18
7.714657539463452e-05,0.05595639656,0.054,0.0,0.0,0.00048369509882117837,0.8616046023422596,0.0075436516574717855,0.0020490060213066777,3.38965324274664e-08,0.06097018639221023,0.0,0.028317591900173935,1.5968530441588464e-07,7.560681741053552e-11,5.925578508652637e-07,3.097350541868748e-08,4.140281541119714e-09,2.63743477662062e-09,1.0982199531493126e-06,3.952165343438928e-06,0.0009255589182285333,1.1793481805300206e-09,1.8639488073774755e-07,1.0822268750111215e-22,5.0946194662119144e-15,5.732847125427919e-18
7.752805477633322e-05,0.05595639656,0.054,0.0,0.0,0.00048351108242833645,0.8615983422879371,0.007555987841990681,0.0020528938102148783,3.4089110409849707e-08,0.06096196261195094,0.0,0.028317327623023338,1.5963976085554933e-07,7.555379779494488e-11,5.92249595385191e-07,3.095619840985853e-08,4.139123838158856e-09,2.6404904771965607e-09,1.098343273750944e-06,3.952572261391025e-06,0.0009260065181111279,1.1796886870067322e-09,1.8651996514138373e-07,1.0945588208853812e-22,5.0945243744205815e-15,5.765375533942194e-18
7.790953415803191e-05,0.05595639656,0.054,0.0,0.0,0.0004833296245357277,0.8615920870089535,0.007568317027881305,0.002056782464250268,3.428168606274711e-08,0.06095374349376076,0.0,0.028317067187104025,1.5959470729483967e-07,7.550145595280075e-11,5.919446228063582e-07,3.0939081088335325e-08,4.137978813020662e-09,2.6435548843677062e-09,1.0984642874163037e-06,3.952971405304468e-06,0.000926447732468552,1.1800320130681737e-09,1.8664470791388363e-07,1.1069604799318674e-22,5.0944306656432704e-15,5.7979031073325695e-18
7.82910135397306e-05,0.05595639656,0.054,0.0,0.0,0.00048315066747268434,0.8615858364379796,0.007580639291967133,0.0020606719671328235,3.447425791335027e-08,0.060945528986506535,0.0,0.02831681056643833,1.5955013295811205e-07,7.544977631446801e-11,5.916428595281441e-07,3.0922149175569557e-08,4.136846186833404e-09,2.6466277721849316e-09,1.0985829801441883e-06,3.953362721575753e-06,0.0009268826451676004,1.180377995364186e-09,1.8676910130877955e-07,1.1194317539666589e-22,5.094338330494818e-15,5.8304295966060755e-18
7.86724929214293e-05,0.05595639656,0.054,0.0,0.0,0.00048297415494975084,0.861579590509236,0.007592954709364526,0.002064562302482597,3.466682450943007e-08,0.060937319040191125,0.0,0.028316557734599034,1.595060273226442e-07,7.53987436960374e-11,5.91344233724976e-07,3.090539849703577e-08,4.135725687269725e-09,2.6497089197268833e-09,1.0986993393461046e-06,3.953746161615826e-06,0.0009273113391294125,1.1807264759119863e-09,1.8689313798674325e-07,1.131972544012686e-22,5.094247359429207e-15,5.862954756257734e-18
7.905397230312799e-05,0.05595639656,0.054,0.0,0.0,0.0004828000320230733,0.8615733491584531,0.007605263353523768,0.0020684534538296276,3.4859384419103384e-08,0.060929113605926254,0.0,0.028316308664737614,1.5946238011226954e-07,7.534834328892925e-11,5.910486753002617e-07,3.088882497950068e-08,4.1346170483819295e-09,2.6527981109791588e-09,1.0988133537965572e-06,3.954121681674906e-06,0.0009277338963372727,1.1810773019396548e-09,1.870168110027729e-07,1.1445827503218638e-22,5.094157742749716e-15,5.8954783442310015e-18
