Time (s),Volume (m^3),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),OX(10),H2NX(28),HX(9),H3NX(29),HNX(49),HOX(13),H2OX(14),NX(59),NOX2(76),NOX(27),N2X2(25),N2X(26)
7.926885255973021e-05,0.05595639656,0.054,0.0,0.0,0.00048270298368084083,0.8615698355133045,0.0076121936292927635,0.0020706456202133744,3.4967846372807744e-08,0.06092449360563685,0.0,0.028316170014411186,1.5943799250065007e-07,7.532022657905373e-11,5.908835174370423e-07,3.0879565926547285e-08,4.13399769677344e-09,2.6545416569406144e-09,1.098876539894813e-06,3.954329703267628e-06,0.0009279692435971544,1.1812758926501063e-09,1.8708631112117868e-07
7.975681680953788e-05,0.05595639656,0.054,0.0,0.0,0.0004824853028942698,0.8615618617586168,0.0076279235262301315,0.0020756246624785016,3.5214138053398536e-08,0.060914007420615694,0.0,0.028315859532892257,1.593831305797374e-07,7.525709190113282e-11,5.905119366522726e-07,3.085874025869463e-08,4.13260466200876e-09,2.658510049817404e-09,1.099017244109808e-06,3.954792680615542e-06,0.0009284966257097389,1.1817293197991015e-09,1.8724369442051986e-07
8.024478105934555e-05,0.05595639656,0.054,0.0,0.0,0.0004822712880492145,0.8615538952085225,0.007643642668008889,0.0020806049625998677,3.546041231459955e-08,0.06090352840041777,0.0,0.028315555078415655,1.5932897307212003e-07,7.5194926010067e-11,5.901450636294725e-07,3.0838186391709276e-08,4.131229851941262e-09,2.662490641667828e-09,1.0991540712519437e-06,3.955242537079613e-06,0.0009290143398595508,1.1821859188985495e-09,1.8740045377630768e-07
8.073274530915322e-05,0.05595639656,0.054,0.0,0.0,0.00048206083466398363,0.8615459357403348,0.007659351195283454,0.0020855864855503525,3.570666632436856e-08,0.06089305645142276,0.0,0.02831525659182982,1.5927550039955615e-07,7.513370083614774e-11,5.897827651624512e-07,3.081789659097633e-08,4.129872759876278e-09,2.6664830188941367e-09,1.09928700820543e-06,3.955679217968314e-06,0.0009295225499758747,1.1826454105510767e-09,1.875565776859465e-07
8.122070955896089e-05,0.05595639656,0.054,0.0,0.0,0.00048185384141202645,0.8615379832349248,0.007675049244767194,0.0020905691961838504,3.595289730201359e-08,0.06088259148263319,0.0,0.02831496401320307,1.5922269356372205e-07,7.507338918455878e-11,5.894249120954771e-07,3.0797863358822924e-08,4.128532894124855e-09,2.6704867795109833e-09,1.0994160448800198e-06,3.956102679348356e-06,0.0009300214175826111,1.1831075273484283e-09,1.8771205554108223e-07
8.170867380876856e-05,0.05595639656,0.054,0.0,0.0,0.000481650210019999,0.8615300375766102,0.00769073694935169,0.0020955530592624127,3.6199102517434406e-08,0.06087213340559504,0.0,0.028314677281900937,1.591705341278965e-07,7.50139647059171e-11,5.890713791915467e-07,3.0778079426731236e-08,4.127209777530093e-09,2.6745015327963186e-09,1.0995411740693103e-06,3.9565128875451995e-06,0.0009305111018242315,1.1835720134256634e-09,1.87866877590707e-07
8.219663805857623e-05,0.05595639656,0.054,0.0,0.0,0.0004814498451694509,0.8615220986530486,0.007706414438222123,0.0021005380394821505,3.6445279290371794e-08,0.06086168213432102,0.0,0.028314396336659917,1.5911900419927718e-07,7.495540186791828e-11,5.887220450053628e-07,3.075853774783373e-08,4.1259029470095375e-09,2.6785268989540294e-09,1.0996623913143143e-06,3.956909818662086e-06,0.0009309917594916008,1.1840386240316663e-09,1.8802103490556671e-07
8.26846023083839e-05,0.05595639656,0.054,0.0,0.0,0.0004812526544019755,0.8615141663551332,0.0077220818369689035,0.002105524101497929,3.669142498966498e-08,0.06085123758521617,0.0,0.02831412111565791,1.5906808641190355e-07,7.489767592803333e-11,5.883767917608097e-07,3.073923148967804e-08,4.124611953113384e-09,2.6825625087878157e-09,1.0997796947720617e-06,3.9572934581168135e-06,0.0009314635450476753,1.184507125115303e-09,1.881745193438072e-07
8.317256655819157e-05,0.05595639656,0.054,0.0,0.0,0.0004810585480276859,0.8615062405768935,0.007737739267695708,0.0021105112099469208,3.693753703251718e-08,0.06084079967700616,0.0,0.028313851556581327,1.5901776391016233e-07,7.484076290721347e-11,5.880355052327538e-07,3.0720154027250727e-08,4.1233363595977605e-09,2.686608003385879e-09,1.099893085089073e-06,3.957663800195625e-06,0.0009319266106530755,1.184977292926561e-09,1.8832732351781424e-07
8.366053080799923e-05,0.05595639656,0.054,0.0,0.0,0.0004808674390368926,0.8614983212153974,0.007753386849124017,0.002115499329471036,3.718361288376884e-08,0.06083036833066753,0.0,0.02831358759668909,1.5896802033285421e-07,7.478463956456296e-11,5.876980746330002e-07,3.0701298936249763e-08,4.1220757430124825e-09,2.690663033816016e-09,1.1000025652795462e-06,3.958020847623693e-06,0.0009323811061915438,1.1854489136321424e-09,1.884794407622174e-07
