Time (s),Volume (m^3),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),OX(10),H2NX(28),HX(9),H3NX(29),HNX(49),HOX(13)
1.6336920361759643e-10,0.05595639656,0.054,0.0,0.0,0.029710337465544297,0.8799896566639765,6.723376635405372e-10,0.0,0.0,0.06599623514348424,0.0,2.0684409757168297e-05,1.6232004078360974e-06,2.038969665909508e-06,1.9323041653324912e-06,2.0935194256412038e-07,1.5899517289887902e-09
1.655488150880835e-10,0.05595639656,0.054,0.0,0.0,0.02971001809278604,0.8799895187875673,7.002664760058742e-10,0.0,0.0,0.06599620205678243,0.0,2.0960104513332524e-05,1.624128419092082e-06,2.0495308324699572e-06,1.9596032825724152e-06,2.1421151588419472e-07,1.6200854397419348e-09
1.6772842655857057e-10,0.05595639656,0.054,0.0,0.0,0.029709699131989533,0.8799893809141418,7.288657978250259e-10,0.0,0.0,0.0659961691794374,0.0,2.123579256962822e-05,1.624851987948592e-06,2.059896032391788e-06,1.986892546247956e-06,2.1907602837651392e-07,1.6502807154215062e-09
1.6990803802905764e-10,0.05595639656,0.054,0.0,0.0,0.029709380568496438,0.8799892430436965,7.581393554198666e-10,0.0,0.0,0.06599613650411583,0.0,2.1511473930217974e-05,1.625380828905458e-06,2.0700725867948174e-06,2.014170768318417e-06,2.2394428692128255e-07,1.6805372436061757e-09
1.7208764949954472e-10,0.05595639656,0.054,0.0,0.0,0.029709062388165126,0.8799891051762276,7.880908421199221e-10,0.0,0.0,0.06599610402374226,0.0,2.178714859892479e-05,1.6257242865102926e-06,2.0800675582512148e-06,2.041436817089886e-06,2.2881515412048753e-07,1.7108548170529876e-09
1.742672609700318e-10,0.05595639656,0.054,0.0,0.0,0.02970874457735898,0.8799889673117317,8.187239229284314e-10,0.0,0.0,0.06599607173149331,0.0,2.206281657924626e-05,1.6258913446212204e-06,2.0898877566174537e-06,2.0686896154709824e-06,2.3368754658252617e-07,1.7412333242022559e-09
1.7644687244051886e-10,0.05595639656,0.054,0.0,0.0,0.029708427122934367,0.8799888294502053,8.500422389651168e-10,0.0,0.0,0.06599603962079167,0.0,2.2338477874368347e-05,1.62589063588761e-06,2.09953974506544e-06,2.0959281392200077e-06,2.3856043319739004e-07,1.7716727402603348e-09
1.7862648391100593e-10,0.05595639656,0.054,0.0,0.0,0.029708110012228284,0.8799886915916451,8.820494115988723e-10,0.0,0.0,0.06599600768529999,0.0,2.2614132487178665e-05,1.6257304513907005e-06,2.1090298462701947e-06,2.1231514151912464e-06,2.434328334101448e-07,1.8021731188375091e-09
1.80806095381493e-10,0.05595639656,0.054,0.0,0.0,0.029707793233045787,0.8799885537360479,9.147490462836751e-10,0.0,0.0,0.06599597591891451,0.0,2.2889780420279254e-05,1.6254187503917222e-06,2.1183641487154602e-06,2.1503585195873087e-06,2.483038154995919e-07,1.8327345841178243e-09
1.8516531832246715e-10,0.05595639656,0.054,0.0,0.0,0.029707160622734943,0.8799882780337309,9.822400643824192e-10,0.0,0.0,0.06599591287017695,0.0,2.3441056256404525e-05,1.624371035812031e-06,2.136588578870881e-06,2.204720754848016e-06,2.5803803238411976e-07,1.8940415818647346e-09
