Time (s),Volume (m^3),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),OX(10),H2NX(28),HX(9),H3NX(29),HNX(49),HOX(13),H2OX(14),NX(59)
5.161715915309913e-11,0.05595639656,0.054,0.0,0.0,0.029727764623098483,0.8799967299491253,1.1788548785708939e-11,0.0,0.0,0.06599846218076316,0.0,6.53986717555214e-06,9.55957012062991e-07,9.84759138632908e-07,5.673404805580039e-07,1.4516446723060296e-08,2.2248866622360888e-10,2.967475977274305e-13,5.297459599874902e-12
5.3382267421899094e-11,0.05595639656,0.054,0.0,0.0,0.029727465509518342,0.8799966181610801,1.3504955798294762e-11,0.0,0.0,0.06599841501527923,0.0,6.763426242299004e-06,9.815463149868215e-07,1.0131328607721648e-06,5.875155079257305e-07,1.5916702469717423e-08,2.3775017021704854e-10,3.425709852937289e-13,6.195355235436091e-12
5.514737569069906e-11,0.05595639656,0.054,0.0,0.0,0.02972716730514026,0.8799965063752951,1.5395315365035415e-11,0.0,0.0,0.06599836830613014,0.0,6.986980225839768e-06,1.0065398681403313e-06,1.0410584103617578e-06,6.07755846242211e-07,1.73909516638084e-08,2.533954547115401e-10,3.9315958611415893e-13,7.2037648121601935e-12
5.691248395949902e-11,0.05595639656,0.054,0.0,0.0,0.029726870015619217,0.8799963945917637,1.7469574384352727e-11,0.0,0.0,0.06599832205615502,0.0,7.210529143147124e-06,1.0309346656540403e-06,1.0685329677269502e-06,6.280615698706083e-07,1.8939278332666404e-08,2.694111220697714e-10,4.487583205631145e-13,8.331063689872823e-12
5.867759222829898e-11,0.05595639656,0.054,0.0,0.0,0.02972657364513075,0.8799962828104789,1.973774439706394e-11,0.0,0.0,0.06599827626745321,0.0,7.4340730110979485e-06,1.0547287210818913e-06,1.0955544528130598e-06,6.484326133944127e-07,2.0561626463931598e-08,2.857838841194243e-10,5.096072687767316e-13,9.585795589828602e-12
6.044270049709895e-11,0.05595639656,0.054,0.0,0.0,0.029726278196421294,0.8799961710314337,2.2209883878098268e-11,0.0,0.0,0.06599823094140936,0.0,7.65761184644211e-06,1.077921030895988e-06,1.122121500031346e-06,6.688687773340742e-07,2.225780571352643e-08,3.025005898536302e-10,5.759409906344785e-13,1.0976647969802338e-11
6.220780876589892e-11,0.05595639656,0.054,0.0,0.0,0.029725983670861243,0.8799960592546211,2.489608130708545e-11,0.0,0.0,0.06599818607871998,0.0,7.881145665772948e-06,1.1005115360226857e-06,1.1482334316759508e-06,6.893697341261779e-07,2.4027497378782838e-08,3.195482513941641e-10,6.479879168142007e-13,1.2512427184960515e-11
6.397291703469889e-11,0.05595639656,0.054,0.0,0.0,0.029725690068500545,0.8799959474800342,2.780643905855136e-11,0.0,0.0,0.06599814167942125,0.0,8.104674485499649e-06,1.1225010817353987e-06,1.17389023013182e-06,7.099350343173316e-07,2.587026058865076e-08,3.3691406797043995e-10,7.259698104945315e-13,1.4202033613661188e-11
6.573802530349886e-11,0.05595639656,0.054,0.0,0.0,0.029725397388126195,0.8799958357076659,3.0951058150383216e-11,0.0,0.0,0.06599809774291768,0.0,8.328198321821646e-06,1.1438913762100777e-06,1.1990925090871636e-06,7.305641129265595e-07,2.778553866453947e-08,3.545854478271291e-10,8.101013015304664e-13,1.605443691699283e-11
6.750313357229883e-11,0.05595639656,0.054,0.0,0.0,0.02972510562732138,0.8799957239375094,3.434002388297676e-11,0.0,0.0,0.06599805426801171,0.0,8.551717190704877e-06,1.1646849480378049e-06,1.2238414839562043e-06,7.5125629593191e-07,2.977266560727216e-08,3.725500281472712e-10,9.005894935363167e-13,1.8078651589516786e-11
6.92682418410988e-11,0.05595639656,0.054,0.0,0.0,0.029724814782525796,0.8799956121695578,3.798339239075565e-11,0.0,0.0,0.06599801125293371,0.0,8.775231107859878e-06,1.1848851029759046e-06,1.2481389417091744e-06,7.720108068391601e-07,3.1830872667801716e-08,3.907956930956911e-10,9.97633641323602e-13,2.028371294657332e-11
7.103335010989877e-11,0.05595639656,0.054,0.0,0.0,0.02972452484909674,0.879995500403804,4.1891178117358994e-11,0.0,0.0,0.0659979686953728,0.0,8.99874008872163e-06,1.204495880204517e-06,1.271987210296908e-06,7.928267732928435e-07,3.395929496169917e-08,4.093105900121027e-10,1.1014248947784646e-12,2.2678653680849445e-11
7.279845837869874e-11,0.05595639656,0.054,0.0,0.0,0.02972423582137072,0.8799953886402415,4.607334221881238e-11,0.0,0.0,0.06599792659250732,0.0,9.222244148431202e-06,1.2235220083400225e-06,1.2953891278468523e-06,8.137032336923528e-07,3.615697808995629e-08,4.280831437438223e-10,1.2121461059511562e-12,2.5272481107868163e-11
7.456356664749871e-11,0.05595639656,0.054,0.0,0.0,0.02972394769272513,0.8799952768788631,5.053978189433116e-11,0.0,0.0,0.06599788494103583,0.0,9.445743301819172e-06,1.241968861440193e-06,1.318348011796087e-06,8.346391437785189e-07,3.8422884731304446e-08,4.471020691393275e-10,1.3299716969686585e-12,2.807415520682281e-11
7.809378318509864e-11,0.05595639656,0.054,0.0,0.0,0.029723374101757453,0.8799950533626326,6.036470172573551e-11,0.0,0.0,0.06599780297685388,0.0,9.892726947315592e-06,1.2771492043560863e-06,1.3629521611050887e-06,8.766847615644711e-07,4.315484358223472e-08,4.858354039682647e-10,1.587591263729155e-12,3.433652349787702e-11
8.124493838068548e-11,0.05595639656,0.054,0.0,0.0,0.029722865055901996,0.8799948538540462,7.019148931734995e-11,0.0,0.0,0.06599773129757035,0.0,1.0291698736706548e-05,1.306659434587603e-06,1.4013113868524343e-06,9.14404773780464e-07,4.759750547302861e-08,5.211366657419114e-10,1.8431072519876086e-12,4.071572455602112e-11
8.365446024080377e-11,0.05595639656,0.054,0.0,0.0,0.029722477659124176,0.8799947013050032,7.841323777270637e-11,0.0,0.0,0.06599767741413008,0.0,1.0596760969697715e-05,1.3280480482121524e-06,1.4297348603718196e-06,9.43362732926584e-07,5.112896134875503e-08,5.485555584306684e-10,2.0552633961781035e-12,4.612733964625375e-11
8.606398210092207e-11,0.05595639656,0.054,0.0,0.0,0.029722091829226766,0.8799945487599554,8.727455637657609e-11,0.0,0.0,0.06599762431768494,0.0,1.0901814215746208e-05,1.3484404970417544e-06,1.4573870779963865e-06,9.72416824426705e-07,5.477296870738057e-08,5.763171066845538e-10,2.282309754035973e-12,5.20247916099555e-11
8.847350396104036e-11,0.05595639656,0.054,0.0,0.0,0.02972170753614057,0.8799943962188864,9.679881760103958e-11,0.0,0.0,0.06599757199321944,0.0,1.1206858505890749e-05,1.3678591826531666e-06,1.484283084838811e-06,1.001563338356559e-06,5.85258309504248e-08,6.043985815444111e-10,2.5245352117643276e-12,5.842852265940759e-11
9.088302582115866e-11,0.05595639656,0.054,0.0,0.0,0.029721324748178336,0.8799942436817807,1.0700897870451604e-10,0.0,0.0,0.06599752042490777,0.0,1.1511893869816106e-05,1.3863275375185925e-06,1.5104387339890204e-06,1.0307984551531348e-06,6.238374115995974e-08,6.327784130816679e-10,2.7822020842268338e-12,6.535830706017241e-11
9.329254768127695e-11,0.05595639656,0.054,0.0,0.0,0.029720943432275986,0.8799940911486227,1.179275675617492e-10,0.0,0.0,0.06599746959623448,0.0,1.181692033584123e-05,1.403869856092433e-06,1.5358705659214205e-06,1.0601182698030333e-06,6.634280632500232e-08,6.614361829518889e-10,3.0555473908753638e-12,7.283319595096367e-11
9.570206954139524e-11,0.05595639656,0.054,0.0,0.0,0.029720563554219023,0.8799939386193978,1.2957667652545894e-10,0.0,0.0,0.0659974194901076,0.0,1.2121937930918018e-05,1.4205111370193937e-06,1.560595695262071e-06,1.0895188141348334e-06,7.039906967281871e-08,6.903526067047994e-10,3.3447843795005685e-12,8.087147385573178e-11
9.787063921550171e-11,0.05595639656,0.054,0.0,0.0,0.02972022286428915,0.8799938013464459,1.4070337531959372e-10,0.0,0.0,0.0659973749978639,0.0,1.2396446203000983e-05,1.434739014155886e-06,1.5822586044163769e-06,1.1160450137815163e-06,7.412950596521257e-08,7.16583497252253e-10,3.6188433177913987e-12,8.86020868685878e-11
9.999999999999999e-11,0.05595639656,0.054,0.0,0.0,0.029719889414493574,0.87999366655854,1.5223671407643993e-10,0.0,0.0,0.06599733185307945,0.0,1.2665984265510173e-05,1.4480379149007105e-06,1.6029993370532216e-06,1.1421492294956943e-06,7.7863113523674e-08,7.425175670848303e-10,3.900743799163541e-12,9.666252800409623e-11
1.0003920888960818e-10,0.05595639656,0.054,0.0,0.0,0.02971988328440793,0.8799936640766575,1.5245482174819343e-10,0.0,0.0,0.06599733106360028,0.0,1.2670947328064794e-05,1.4482766677582865e-06,1.6033763965606178e-06,1.142630415923202e-06,7.793250054132544e-08,7.429966794687658e-10,3.906054144201986e-12,9.681538231551979e-11
1.0220777856371466e-10,0.05595639656,0.054,0.0,0.0,0.02971954478805936,0.8799935268100223,1.648462083315871e-10,0.0,0.0,0.0659972876740671,0.0,1.2945441322926563e-05,1.4611432183579681e-06,1.6239623329098711e-06,1.1692720757215588e-06,8.180511575027883e-08,7.695803705413402e-10,4.206528726115937e-12,1.0552296400480846e-10
1.0437634823782113e-10,0.05595639656,0.054,0.0,0.0,0.029719207348459183,0.8799933895465304,1.7789244153554162e-10,0.0,0.0,0.06599724481587967,0.0,1.321992820352236e-05,1.47335791164609e-06,1.6440298081341293e-06,1.1959670537116382e-06,8.574441899553787e-08,7.963234727756468e-10,4.520367080492687e-12,1.1473586099464696e-10
1.065449179119276e-10,0.05595639656,0.054,0.0,0.0,0.029718870938651235,0.8799932522861722,1.9160814648771947e-10,0.0,0.0,0.06599720247556655,0.0,1.3494407984918525e-05,1.484940052428678e-06,1.6635923021798527e-06,1.222712424726188e-06,8.974749167454615e-08,8.232155532261819e-10,4.847658332711209e-12,1.2446452032058375e-10
1.0871348758603407e-10,0.05595639656,0.054,0.0,0.0,0.029718535531595577,0.8799931150289382,2.0600767261622163e-10,0.0,0.0,0.06599716063961344,0.0,1.3768880681323656e-05,1.4959089445040716e-06,1.682663336230649e-06,1.2495052859268381e-06,9.381143722279435e-08,8.502468232080606e-10,5.188481619949487e-12,1.3471880289386178e-10
1.1088205726014054e-10,0.05595639656,0.054,0.0,0.0,0.029718201100250065,0.8799929777748192,2.21105099648712e-10,0.0,0.0,0.06599711929450412,0.0,1.4043346306101743e-05,1.5062838351678872e-06,1.7012564319299962e-06,1.2763427641513822e-06,9.793338847204397e-08,8.774081172331804e-10,5.542906972766667e-12,1.455079815032434e-10
