Time (s),Volume (m^3),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),OX(10),H2NX(28),HX(9),H3NX(29),HNX(49),HOX(13),H2OX(14),NX(59),NOX2(76),NOX(27),N2X2(25),N2X(26),N2O2(46),O2X2(47)
6.741751301344591e-06,0.05595639656,0.054,0.0,0.0,0.0014110271524584625,0.8635891681435114,0.004507044619597815,0.0012319539039774448,1.6361867618412358e-09,0.06299321013235634,0.0,0.027776696424874393,3.068566282398744e-07,4.838542525657827e-10,1.8442448741173e-06,1.1575680127221744e-07,7.9425008013829e-09,4.8663503517481415e-09,1.874830160228729e-06,6.618066290421699e-06,0.0005312901571667386,7.1873848383362806e-09,4.0806840574366847e-07,2.5215844535630203e-25,4.901853133827593e-15
6.77007339217593e-06,0.05595639656,0.054,0.0,0.0,0.001406523752716973,0.8635852150563355,0.00451042062742955,0.0012327944715925074,1.6450313338696992e-09,0.06299096629843216,0.0,0.027780649602966577,3.0623024184998553e-07,4.810889759216051e-10,1.838000917584715e-06,1.152719723286794e-07,7.92630976372554e-09,4.853618740229612e-09,1.8706583968164142e-06,6.604279954481695e-06,0.0005318809520087449,7.1413478642466914e-09,4.0671858207699076e-07,2.5489194921050677e-25,4.903248496425013e-15
6.79839548300727e-06,0.05595639656,0.054,0.0,0.0,0.0014020567118020128,0.863581287118356,0.00451378290293638,0.0012336313078825981,1.6538854971179437e-09,0.06298873156218357,0.0,0.02778456796734173,3.0560847220133916e-07,4.783536525429117e-10,1.8318094237328861e-06,1.1479179974805447e-07,7.910237971589058e-09,4.840985074571806e-09,1.8665187615162187e-06,6.5905946116644305e-06,0.0005324698932798492,7.0958356882508085e-09,4.0538007292468934e-07,2.576431777053486e-25,4.904631766708535e-15
6.8267175738386095e-06,0.05595639656,0.054,0.0,0.0,0.0013976255967264792,0.8635773840475502,0.0045171315748145716,0.0012344644497462149,1.6627492206841842e-09,0.06298650583852065,0.0,0.02778845194064227,3.0499126712301573e-07,4.75647829563768e-10,1.8256697426537041e-06,1.1431621882398682e-07,7.89428412241182e-09,4.8284482492433035e-09,1.8624108908821152e-06,6.577009181720442e-06,0.0005330569947693711,7.050840211717519e-09,4.0405274344860365e-07,2.6041216915655234e-25,4.90600308870315e-15
6.855039664669949e-06,0.05595639656,0.054,0.0,0.0,0.0013932299813551536,0.8635735055662126,0.004520466770013883,0.0012352939335694834,1.6716224738934441e-09,0.06298428904350623,0.0,0.027792301938773946,3.0437857528002146e-07,4.729710635406305e-10,1.819581235076573e-06,1.1384516602254891e-07,7.878446934641331e-09,4.81600717611963e-09,1.8583344268733481e-06,6.563522599196612e-06,0.0005336422701013036,7.006353498989668e-09,4.0273646089449436e-07,2.631989617947951e-25,4.9073626041923165e-15
6.883361755501289e-06,0.05595639656,0.054,0.0,0.0,0.0013888694462693449,0.863569651400871,0.0045237886137684405,0.001236119795235327,1.6805052262948424e-09,0.06298208109433547,0.0,0.027796118371038795,3.037703460767748e-07,4.703229215309394e-10,1.8135432722184887e-06,1.1337857897839401e-07,7.862725049632804e-09,4.8036607831746415e-09,1.8542890168950302e-06,6.550133813921656e-06,0.000534225732736104,6.962367767352519e-09,4.014310945650475e-07,2.660035937680302e-25,4.9087104527528705e-15
6.9116838463326285e-06,0.05595639656,0.054,0.0,0.0,0.0013845435786344273,0.8635658212822054,0.004527097229627023,0.0012369420701324589,1.689397447658905e-09,0.06297988190931594,0.0,0.02779990164026564,3.0316652970110917e-07,4.67702977070124e-10,1.807555235544223e-06,1.1291639643355651e-07,7.847117210986846e-09,4.7914080145382815e-09,1.8502743136888273e-06,6.53684179075344e-06,0.0005348073959734022,6.91887538334204e-09,4.0013651579602864e-07,2.6882610314195946e-25,4.910046771797718e-15
6.940005937163968e-06,0.05595639656,0.054,0.0,0.0,0.0013802519720706396,0.8635620149449683,0.0045303927394828155,0.0012377607931641952,1.6982991079749287e-09,0.06297769140784808,0.0,0.027803652142937688,3.0256707710690056e-07,4.6511081243163896e-10,1.801616516552825e-06,1.1245855822954069e-07,7.831622152118467e-09,4.779247830158884e-09,1.8462899752368602e-06,6.523645509284109e-06,0.0005353872729546476,6.875868859912571e-09,3.9885259792368683e-07,2.716665279005021e-25,4.911371696617651e-15
6.968328027995308e-06,0.05595639656,0.054,0.0,0.0,0.0013759942265274012,0.8635582321279068,0.004533675263602381,0.0012385759987570701,1.7072101774483915e-09,0.06297550951040594,0.0,0.027807370269316574,3.0197193997114603e-07,4.62546018222713e-10,1.7957265165820485e-06,1.120050052826278e-07,7.816238605272468e-09,4.767179205413293e-09,1.8423356646578478e-06,6.510543963592054e-06,0.0005359653766656848,6.8333408525252684e-09,3.9757921623356945e-07,2.745249059462605e-25,4.912685360421992e-15
6.996650118826647e-06,0.05595639656,0.054,0.0,0.0,0.001371769948160719,0.8635544725736872,0.004536944920653917,0.0012393877208692423,1.7161306264984078e-09,0.06297333613851872,0.0,0.02781105640356328,3.013810707037413e-07,4.600081919342259e-10,1.7898846466060087e-06,1.1155567955346408e-07,7.800965358590288e-09,4.7552011308935595e-09,1.8384110501124823e-06,6.497536161978706e-06,0.0005365417199392626,6.7912841559697135e-09,3.963162479196499e-07,2.774012751009797e-25,4.9139878943782155e-15
7.024972209657987e-06,0.05595639656,0.054,0.0,0.0,0.0013675787492133055,0.8635507360288199,0.004540201827735005,0.0012401959929987173,1.7250604257552223e-09,0.06297117121475238,0.0,0.027814710923856435,3.007944224328113e-07,4.574969390887627e-10,1.7840903270471138e-06,1.1111052403087814e-07,7.785801196735461e-09,4.743312612117071e-09,1.8345158047079147e-06,6.484621126718018e-06,0.000537116315457496,6.749691701252198e-09,3.9506357205623016e-07,2.8029567310600357e-25,4.915279427650756e-15
7.053294300489327e-06,0.05595639656,0.054,0.0,0.0,0.0013634202478973068,0.8635470222435884,0.004543446100399778,0.001241000848191405,1.7339995460577404e-09,0.06296901466269182,0.0,0.027818334202508066,3.002119489765176e-07,4.5501187265942943e-10,1.7783429875863414e-06,1.1066948270760513e-07,7.77074491806168e-09,4.731512669216861e-09,1.8306496064052947e-06,6.471797893809229e-06,0.000537689175754298,6.708556552603403e-09,3.9382106956449174e-07,2.832081376227235e-25,4.916560087438999e-15
7.081616391320666e-06,0.05595639656,0.054,0.0,0.0,0.001359294068279707,0.8635433309719771,0.004546677852685488,0.0012418023190490166,1.7429479584511027e-09,0.06296686640692326,0.0,0.027821926606076575,2.996336048422196e-07,4.5255261237445865e-10,1.7726420669745109e-06,1.1023250055610112e-07,7.755795358687453e-09,4.719800336703037e-09,1.826812137928818e-06,6.45906551273464e-06,0.0005382603132177509,6.667871904378172e-09,3.925886231724722e-07,2.8613870623302457e-25,4.917829999014356e-15
7.109938482152006e-06,0.05595639656,0.054,0.0,0.0,0.0013551998401704754,0.863539661971602,0.004549897197138529,0.0012426004377367815,1.7519056341842937e-09,0.06296472637301717,0.0,0.02782548849547715,2.99059345214246e-07,4.501187853618387e-10,1.766987012858064e-06,1.0979952351087091e-07,7.740951355848938e-09,4.7081746631937195e-09,1.8230030866772724e-06,6.446423046223103e-06,0.000538829740092421,6.627631078073954e-09,3.9136611738010687e-07,2.890874164397252e-25,4.919089285756546e-15
7.1382605729833456e-06,0.05595639656,0.054,0.0,0.0,0.0013511371990133029,0.8635360150036451,0.004553104244839893,0.0012433952359909954,1.7608725447077941e-09,0.06296259448751149,0.0,0.027829020226089525,2.9848912593176745e-07,4.4771002562045505e-10,1.7613772816036408e-06,1.0937049844670241e-07,7.726211763897276e-09,4.6966347111409474e-09,1.8192221446374335e-06,6.433869570018564e-06,0.0005393974684816398,6.5878275195373365e-09,3.901534384293918e-07,2.920543056670135e-25,4.920338069188993e-15
7.166582663814685e-06,0.05595639656,0.054,0.0,0.0,0.00134710578577878,0.8635323898327851,0.0045562991054300716,0.0012441867451264106,1.7698486616712664e-09,0.06296047067789512,0.0,0.027832522147863345,2.979229034839043e-07,4.4532597357794595e-10,1.7558123381225124e-06,1.0894537315706285e-07,7.711575467320017e-09,4.685179556596349e-09,1.8154690082994118e-06,6.4214041726533025e-06,0.0005399635103497308,6.5484547962239945e-09,3.8895047427240243e-07,2.9503941126087882e-25,4.921576469013479e-15
7.194904754646025e-06,0.05595639656,0.054,0.0,0.0,0.0013431052468599832,0.8635287862271361,0.004559481887133487,0.0012449749960434812,1.778833956921278e-09,0.06295835487259198,0.0,0.027835994605421195,2.9736063499932146e-07,4.4296627653191696e-10,1.7502916557067784e-06,1.0852409633659241e-07,7.697041353773864e-09,4.673808288960118e-09,1.8117433785738436e-06,6.409025955225886e-06,0.0005405278775241914,6.509506594451605e-09,3.877571145374202e-07,2.9804277048953835e-25,4.922804603144019e-15
7.2232268454773645e-06,0.05595639656,0.054,0.0,0.0,0.001339135233970416,0.8635252039581813,0.004562652696782381,0.0012457600192354436,1.7878284024990594e-09,0.06295624700094508,0.0,0.027839437938159226,2.968022782271068e-07,4.4063058817621135e-10,1.7448147158669904e-06,1.0810661756152341e-07,7.682608328323687e-09,4.662520010729514e-09,1.8080449607109013e-06,6.396734031183689e-06,0.0005410905816978407,6.4709767167415885e-09,3.865732504977459e-07,3.010644205438591e-25,4.924022587739987e-15
