Time (s),Volume (m^3),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),OX(10),H2NX(28),HX(9),H3NX(29),HNX(49),HOX(13),H2OX(14),NX(59),NOX2(76)
2.5757235544723776e-10,0.05595639656,0.054,0.0,0.0,0.02969678001971432,0.8799837003114651,3.4861368017299696e-09,0.0,0.0,0.06599492966163042,0.0,3.2592973536594516e-05,1.560410574186595e-06,2.381042417124352e-06,3.0957492307703823e-06,4.1196015908588394e-07,2.845255391433542e-09,6.308142257378902e-11,2.209345125708453e-09,9.060410189746864e-12
2.6146806320378153e-10,0.05595639656,0.054,0.0,0.0,0.0296962260807111,0.8799834541078613,3.649002315774568e-09,0.0,0.0,0.06599487913749652,0.0,3.308515994262896e-05,1.5558813056415119e-06,2.3922129442782784e-06,3.1428039043381804e-06,4.198708812341603e-07,2.90018391204627e-09,6.558602798334768e-11,2.296848830521216e-09,9.563426036427435e-12
2.653637709603253e-10,0.05595639656,0.054,0.0,0.0,0.029695672463957917,0.8799832079135085,3.816664375386426e-09,0.0,0.0,0.06599482878074364,0.0,3.35773228269419e-05,1.551322079742765e-06,2.4032519012134644e-06,3.1897677487376347e-06,4.2773357798297187e-07,2.955262564573632e-09,6.814645155208974e-11,2.3857665259218715e-09,1.0083382368173302e-11
2.692594787168691e-10,0.05595639656,0.054,0.0,0.0,0.02969511915611422,0.8799829617284015,3.989192232147017e-09,0.0,0.0,0.06599477858455972,0.0,3.4069462130004296e-05,1.5467399105063835e-06,2.414165874922995e-06,3.2366406952778814e-06,4.3554813649839463e-07,3.010491838431166e-09,7.076312580845192e-11,2.476077537103277e-09,1.0620454839733744e-11
2.7315518647341285e-10,0.05595639656,0.054,0.0,0.0,0.029694566144835743,0.879982715552535,4.166655589062337e-09,0.0,0.0,0.06599472854263012,0.0,3.456157779157289e-05,1.5421411732542467e-06,2.424960954280109e-06,3.2834227462030367e-06,4.4331451403982053e-07,3.0658720673882936e-09,7.343647901227025e-11,2.567761568262867e-09,1.1174815544872133e-11
2.770508942299566e-10,0.05595639656,0.054,0.0,0.0,0.02969401341869914,0.8799824693859041,4.349124588072084e-09,0.0,0.0,0.06599467864909979,0.0,3.505366975073079e-05,1.5375316563213041e-06,2.4356427677479985e-06,3.3301139676180516e-06,4.510327309409898e-07,3.121403433674337e-09,7.616693461635025e-11,2.660798708653244e-09,1.1746633156884417e-11
2.809466019865004e-10,0.05595639656,0.054,0.0,0.0,0.029693460967132008,0.8799822232285041,4.536669796988536e-09,0.0,0.0,0.06599462889853845,0.0,3.554573794592566e-05,1.5329166088770332e-06,2.446216518377721e-06,3.3767144830067673e-06,4.587028641809291e-07,3.1770859726555114e-09,7.895491078262512e-11,2.7551694364908865e-09,1.2336073072877274e-11
2.8484230974304417e-10,0.05595639656,0.054,0.0,0.0,0.029692908780348037,0.8799819770803301,4.729362195980091e-09,0.0,0.0,0.06599457928590817,0.0,3.603778231500545e-05,1.528300785119793e-06,2.4566870162654784e-06,3.423224467298157e-06,4.6632504150076877e-07,3.232919578001125e-09,8.180081994537197e-11,2.8508546210045797e-09,1.2943297550024702e-11
2.8873801749958795e-10,0.05595639656,0.054,0.0,0.0,0.02969235684928687,0.8799817309413775,4.927273163696088e-09,0.0,0.0,0.06599452980653346,0.0,3.65298027952521e-05,1.523688485085487e-06,2.467058708630326e-06,3.4696441414402197e-06,4.738994360259235e-07,3.2889040072038962e-09,8.470506841433297e-11,2.9478355228672834e-09,1.356846582634718e-11
2.926337252561317e-10,0.05595639656,0.054,0.0,0.0,0.02969180516555845,0.8799814848116422,5.130474463116122e-09,0.0,0.0,0.06599448045607338,0.0,3.702179932341347e-05,1.5190835923024469e-06,2.477335707667842e-06,3.5159737674430013e-06,4.814262613551443e-07,3.345038887322676e-09,8.766805601660389e-11,3.046093793213444e-09,1.4211734239538535e-11
2.965294330126755e-10,0.05595639656,0.054,0.0,0.0,0.029691253721391447,0.8799812386911199,5.3390382271991664e-09,0.0,0.0,0.06599443123049581,0.0,3.7513771835733244e-05,1.514489608516223e-06,2.4875218163304177e-06,3.5622136438539477e-06,4.889057670796635e-07,3.4013237208648132e-09,9.069017577849777e-11,3.1456114714396388e-09,1.487325634450044e-11
