Time (s),Volume (m^3),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),OX(10),H2NX(28),HX(9),H3NX(29),HNX(49),HOX(13),H2OX(14),NX(59),NOX2(76),NOX(27)
1e-12,0.05595639656,0.054,0.0,0.0,0.02973664837465049,0.8799999366287696,1.5135100410583394e-19,0.0,2.0269360797520253e-40,0.0659999685232972,0.0,1.2674245216373037e-07,2.0697387139227227e-08,2.06976205387113e-08,1.0779194545342442e-08,1.2113183146848156e-13,8.864861073463735e-15,2.4984724437075265e-23,1.8233953017755598e-20,5.438651509541746e-26,2.2593707243361655e-27
1.0982634305850552e-12,0.05595639656,0.054,0.0,0.0,0.029736630794238664,0.8799999304017363,2.40205210065465e-19,0.0,4.388921552261224e-40,0.0659999654306018,0.0,1.39196515903894e-07,2.2730961353764433e-08,2.2731270419209387e-08,1.1838276506413797e-08,1.6036357633638894e-13,1.1662234421180189e-14,4.642545060314145e-23,2.907289352175869e-20,1.0136440109880264e-25,4.562884232166779e-27
1.3566783586500836e-12,0.05595639656,0.054,0.0,0.0,0.029736584561611445,0.8799999140258081,6.773791044650816e-19,0.0,2.5903439587879714e-39,0.06599995729772919,0.0,1.7194836229768024e-07,2.8078586299513206e-08,2.8079168691618164e-08,1.4623382536936854e-08,3.019986340295027e-13,2.1604957539360793e-14,1.9045991310238193e-22,8.3022877161406e-20,4.1157567755414008e-25,2.2416707956385071e-26
1.8735082147801403e-12,0.05595639656,0.054,0.0,0.0,0.029736492099678317,0.8799998812741054,3.3899593039179506e-18,0.0,5.869325252784786e-38,0.06599994103375617,0.0,2.3745173424952248e-07,3.8772189123115764e-08,3.8773723484203315e-08,2.0193260054831534e-08,7.946710503230484e-13,5.497630938208354e-14,1.803812560411357e-21,4.283008585763075e-19,3.9032493771538855e-24,3.232660954242867e-25
2.390338070910197e-12,0.05595639656,0.054,0.0,0.0,0.029736399643113354,0.8799998485226077,1.1028649438123354e-17,0.0,4.1358338242946235e-37,0.06599992477261382,0.0,3.029546742294941e-07,4.946296154636131e-08,4.946615054976011e-08,2.5762774857249737e-08,1.6497846215293078e-12,1.10548801593062e-13,8.808340971981283e-21,1.429493155152794e-18,1.8669940058695413e-23,1.8862605443744773e-24
2.907167927040254e-12,0.05595639656,0.054,0.0,0.0,0.02973630719304271,0.8799998157713148,2.8180072952475043e-17,0.0,1.91196294832259e-36,0.06599990851486298,0.0,3.684571777970231e-07,6.015014311431347e-08,6.015588453239871e-08,3.1332026808519736e-08,2.9671216382677025e-12,1.9278076024662624e-13,3.09911446965063e-20,3.7423243630050625e-18,6.465872882821356e-23,7.569403685554495e-24
3.4239977831703108e-12,0.05595639656,0.054,0.0,0.0,0.029736214750590625,0.8799997830202267,6.156137419716598e-17,0.0,6.92545880192426e-36,0.06599989226106376,0.0,4.3395924112578164e-07,7.083297429644866e-08,7.084236133860201e-08,3.690111562810056e-08,4.84633035436443e-12,3.05521201516925e-13,8.830295152245861e-20,8.375017342418608e-18,1.8392834564169913e-22,2.4338553951844532e-23
3.940827639300367e-12,0.05595639656,0.054,0.0,0.0,0.029736122316879218,0.8799997502693435,1.2030137708484994e-16,0.0,2.1193143831084734e-35,0.06599987601177558,0.0,4.994608609189428e-07,8.15106966778561e-08,8.152501818772613e-08,4.2470140865648926e-08,7.386897109250027e-12,4.5209448982476e-13,2.1640466574082787e-19,1.676482669472304e-17,4.535770241808725e-22,6.697419986756829e-23
4.974487351560481e-12,0.05595639656,0.054,0.0,0.0,0.02973593748015539,0.8799996847681915,3.6350570282435727e-16,0.0,1.486148680204632e-34,0.06599984352896499,0.0,6.304627586795714e-07,1.0284778818548774e-07,1.0287662765878448e-07,5.3608397758671427e-08,1.48490617624777e-11,8.580818000080769e-13,9.527840101074118e-19,5.317831488785649e-17,2.0475439893163262e-21,3.750305570923115e-22
6.0081470638205946e-12,0.05595639656,0.054,0.0,0.0,0.02973575269179834,0.8799996192678587,8.866604348951834e-16,0.0,6.983071842471085e-34,0.06599981107088528,0.0,7.614628527468547e-07,1.2415538003314217e-07,1.2420623970050134e-07,6.474758937507184e-08,2.6145191362223564e-11,1.4293444424110076e-12,3.104388609157438e-18,1.3588900548408088e-16,6.831760211282734e-21,1.4853659835887226e-21
