Time (s),Volume (m^3),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),OX(10),H2NX(28),HX(9),H3NX(29),HNX(49),HOX(13),H2OX(14),NX(59),NOX2(76),NOX(27),N2X2(25),N2X(26),N2O2(46)
4.794161062043095e-12,0.05595639656,0.054,0.0,0.0,0.02973596972247365,0.8799996961950853,3.0487574079488614e-16,7.005701777872103e-36,1.0889140493560303e-34,0.0659998491940755,0.0,6.076090541370649e-07,9.912739595301204e-08,9.915320671976415e-08,5.166523492510582e-08,1.3293567128999215e-11,7.758863803712959e-13,7.536648122525917e-19,4.4226034481065454e-17,1.613943486380559e-21,2.852037857637432e-22,8.485610618693372e-33,4.52298580428285e-34,5.163139584656369e-71
5.7917899566217895e-12,0.05595639656,0.054,0.0,0.0,0.029735791365733455,0.8799996329777802,7.455588495483752e-16,6.038100164003595e-35,5.13490044039731e-34,0.06599981786247949,0.0,7.340431445759322e-07,1.196981881028545e-07,1.1974374093697705e-07,6.241590757710349e-08,2.3424703983708332e-11,1.295414665003448e-12,2.4688926300309715e-18,1.1315439923282236e-16,5.402500741859494e-21,1.1336548758523607e-21,6.329962671189498e-32,3.886189187529176e-33,7.86733713650369e-65
6.789418851200484e-12,0.05595639656,0.054,0.0,0.0,0.029735613060591387,0.8799995697612377,1.573990873352751e-15,3.62405574109874e-34,1.8696290804847362e-33,0.06599978655718729,0.0,8.604755446277961e-07,1.4023707381344482e-07,1.403105068104474e-07,7.316803124870153e-08,3.770738492583861e-11,1.9793577492818946e-12,6.587930375992496e-18,2.495066581705672e-16,1.4811243230657428e-20,3.580953115277585e-21,3.4109835782545606e-31,2.3263465461620564e-32,2.880925638788878e-64
7.787047745779178e-12,0.05595639656,0.054,0.0,0.0,0.02973543481499319,0.8799995065454579,2.9866734510300534e-15,1.71936597431031e-33,5.6891426050138684e-33,0.06599975528216676,0.0,9.86906244633822e-07,1.607386768987318e-07,1.6084952618382813e-07,8.392231008119904e-08,5.68457346415432e-11,2.8376593231226533e-12,1.5183826592058543e-17,4.937502577074074e-16,3.525055362589744e-20,9.626356914456447e-21,1.4714196871863682e-30,1.1009187800044986e-31,6.084379345233338e-64
8.784676640357873e-12,0.05595639656,0.054,0.0,0.0,0.029735256636831933,0.8799994433304403,5.227003599863438e-15,6.845144728023862e-33,1.514897673363508e-32,0.06599972404136074,0.0,1.1133352373900473e-06,1.811976566994632e-07,1.8135684848481774e-07,9.467944291403496e-08,8.153871530317354e-11,3.877826134983097e-12,3.1333837629202395e-17,8.999674507530957e-16,7.539890528725263e-20,2.2936572210151322e-20,5.3569622672428105e-30,4.37186016526347e-31,1.1139478387593869e-63
9.782305534936568e-12,0.05595639656,0.054,0.0,0.0,0.029735078533941462,0.8799993801161848,8.586436957524045e-15,2.370700715194765e-32,3.634072287633449e-32,0.06599969283868341,0.0,1.2397625176500038e-06,2.0160871303836464e-07,2.0182855374570268e-07,1.054401225722058e-07,1.1247940615776657e-10,5.105424568694542e-12,5.930071058774602e-17,1.5377372310535063e-15,1.4829531120768727e-19,4.9718989184582926e-20,1.70382925690351e-29,1.5101689891384959e-30,1.7537819049392665e-63
1e-11,0.05595639656,0.054,0.0,0.0,0.02973503968054633,0.8799993663221851,9.50073887964719e-15,3.0599128430090703e-32,4.346399356581634e-32,0.06599968603533896,0.0,1.267350222693156e-06,2.0605576068192188e-07,2.0629060615368127e-07,1.0778876957982708e-07,1.2012904700334383e-10,5.39863128175378e-12,6.74963729326698e-17,1.715857227227914e-15,1.7026346911953934e-19,5.823279745560588e-20,2.1603120028807835e-29,1.9480747578508387e-30,1.7393550419702124e-63
1.0779934429515263e-11,0.05595639656,0.054,0.0,0.0,0.02973490051409047,0.8799993169026907,1.340517185059061e-14,7.233740553187522e-32,7.992742853701715e-32,0.06599966167801724,0.0,1.3661880817610513e-06,2.2196659065020124e-07,2.2226075538643164e-07,1.1620503522838202e-07,1.5035435999825539e-10,6.5244438171660004e-12,1.0467755384751932e-16,2.493800838853092e-15,2.7257451004875136e-19,9.974086353714831e-20,4.8234301101266203e-29,4.596560309691489e-30,-1.7867580357667904e-66
1.1777563324093958e-11,0.05595639656,0.054,0.0,0.0,0.029734722584974917,0.879999253689958,2.0072497633525823e-14,2.0206646040465216e-31,1.6401857846052817e-31,0.06599963056320891,0.0,1.4926119272542887e-06,2.422660847994161e-07,2.426496037978159e-07,1.26974859593127e-07,1.958427876470722e-10,8.137704527080008e-12,1.7453768308402695e-16,3.87415690399802e-15,4.738854371457572e-19,1.8788978474715464e-19,1.2508773287345514e-28,1.2806133012392554e-29,1.1823541287257972e-63
1.2775192218672653e-11,0.05595639656,0.054,0.0,0.0,0.02973454475421177,0.8799991904779862,2.9027047001453207e-14,5.226744217736101e-31,3.1762806993057267e-31,0.06599959949806615,0.0,1.6190340525804631e-06,2.625020458544706e-07,2.6299128933051217e-07,1.3775026625576698e-07,2.4961589468557306e-10,9.947122031895834e-12,2.775393290798184e-16,5.805744787081726e-15,7.865657241979063e-19,3.3582450397556435e-19,3.0105730561985873e-28,3.3034297303383166e-29,2.1397492181671138e-63
1.3772821113251347e-11,0.05595639656,0.054,0.0,0.0,0.02973436702933307,0.8799991272667747,4.075664024914985e-14,1.2632454732428622e-30,5.852777107017193e-31,0.0659995684863546,0.0,1.7454544569317013e-06,2.826693836285968e-07,2.83282045206077e-07,1.4853191706003863e-07,3.123362527869488e-10,1.1953883666718276e-11,4.2399008762821277e-16,8.438020563029497e-15,1.2552302316483503e-18,5.739205743665167e-19,6.788085180026098e-28,7.961483022408887e-29,4.555822481809526e-64
1.4770450007830042e-11,0.05595639656,0.054,0.0,0.0,0.029734189417779885,0.8799990640563231,5.57981206876438e-14,2.8754160352313358e-30,1.0328438789826264e-30,0.06599953753179469,0.0,1.8718731401047799e-06,3.0276307165085876e-07,3.035181504210181e-07,1.59320464491162e-07,3.846571819103325e-10,1.4158585002033137e-11,6.259006744404268e-16,1.1944486584263046e-14,1.936654604510618e-18,9.435539272641078e-19,1.4458396578196353e-27,1.806960752616782e-28,1.9160526837649139e-63
1.6765707796987432e-11,0.05595639656,0.054,0.0,0.0,0.029733834563922527,0.8799989376376979,9.820712272939736e-14,1.3073971961580213e-29,2.888636065440114e-30,0.06599947580876726,0.0,2.1247053444129896e-06,3.4270973782815536e-07,3.4381177203486856e-07,1.8092080856063983e-07,5.606639201280133e-10,1.9161941258845824e-11,1.252869466040894e-15,2.2403601837575284e-14,4.238100142579517e-18,2.3152388911400266e-18,5.736958038798611e-27,8.16004775225336e-28,5.636161286803865e-66
1.8760965586144822e-11,0.05595639656,0.054,0.0,0.0,0.02973348025011947,0.8799988112221057,1.6151602269633792e-13,4.962082725514649e-29,7.169186443106346e-30,0.06599941435772773,0.0,2.377530671772461e-06,3.823032716531501e-07,3.838434148245465e-07,2.0255630759878356e-07,7.82653858857193e-10,2.4954301605124827e-11,2.2897477843519194e-15,3.910962205797107e-14,8.467416287633312e-18,5.112618628654725e-18,1.9347927032477773e-26,3.0765835173899235e-27,1.3237033949184054e-62
2.0556697596386472e-11,0.05595639656,0.054,0.0,0.0,0.029733161875476317,0.8799986974506624,2.4132347774072706e-13,1.448770037916742e-28,1.4955366117798406e-29,0.06599935930736368,0.0,2.6050675949528975e-06,4.176045144747921e-07,4.196248870227248e-07,2.2206230293489346e-07,1.025757378388199e-09,3.083661022847206e-11,3.70472813283657e-15,6.146231170450484e-14,1.483195787871173e-17,9.701680896888985e-18,5.159423151987771e-26,8.93270144182491e-27,-2.5255287835606033e-64
2.2352429606628123e-11,0.05595639656,0.054,0.0,0.0,0.029732844022564327,0.8799985836816682,3.4782676812272204e-13,3.863612693938652e-28,2.926086787459929e-29,0.06599930451946456,0.0,2.8325989655000054e-06,4.5256298360716083e-07,4.551520180460102e-07,2.416040545520135e-07,1.3134042645244263e-09,3.7345896983047336e-11,5.7160350373854245e-15,9.292287921080797e-14,2.474679402575931e-17,1.7401408499353205e-17,1.2655282818048804e-25,2.3688964745428017e-26,1.141072950711631e-61
2.4148161616869774e-11,0.05595639656,0.054,0.0,0.0,0.02973252672916647,0.8799984699151189,4.863969181884587e-13,9.535347975725808e-28,5.423922335832954e-29,0.06599925001292879,0.0,3.060124794398683e-06,4.871533100787406e-07,4.904059203848414e-07,2.611847920640806e-07,1.6488329800118543e-09,4.44739803066151e-11,8.47632720098446e-15,1.3595579007553819e-13,3.9628217713257683e-17,2.976429293935069e-17,2.891410745543304e-25,5.814136336490229e-26,1.6042793372101126e-61
