Time (s),Volume (m^3),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),OX(10),H2NX(28),HX(9),H3NX(29),HNX(49),HOX(13),H2OX(14)
5.54568361243051e-10,0.05595639656,0.054,0.0,0.0,0.029655111769218725,0.8799649568233225,3.4824385322637525e-08,0.0,0.0,0.06599136628819384,0.0,7.004372466187553e-05,1.2815925510008211e-06,3.0302814407705493e-06,6.438831435170412e-06,9.132878200041637e-07,7.370635005579536e-09,4.3367229393662e-10
5.610685642636127e-10,0.05595639656,0.054,0.0,0.0,0.029654209222376566,0.8799645471846448,3.606417492407389e-08,0.0,0.0,0.0659912929379652,0.0,7.086164581586987e-05,1.277361832569351e-06,3.0414404881665505e-06,6.507413285919476e-06,9.222869163144197e-07,7.47461169295369e-09,4.4610774533345213e-10
5.675687672841745e-10,0.05595639656,0.054,0.0,0.0,0.029653307029421646,0.8799641375710872,3.7333112810812366e-08,0.0,0.0,0.06599121975124642,0.0,7.167948732417178e-05,1.2731967793535105e-06,3.05248854706874e-06,6.5758249191437e-06,9.312270551057754e-07,7.578659846535704e-09,4.587285141446479e-10
5.740689703047363e-10,0.05595639656,0.054,0.0,0.0,0.02965240518885269,0.8799637279826396,3.863152183310328e-08,0.0,0.0,0.06599114672668326,0.0,7.249724889359345e-05,1.2690962696461036e-06,3.0634260663011224e-06,6.644067707204762e-06,9.401093399134865e-07,7.682771498578993e-09,4.715340036483465e-10
5.80569173325298e-10,0.05595639656,0.054,0.0,0.0,0.029651503699205748,0.8799633184192909,3.9959722538872666e-08,0.0,0.0,0.06599107386294469,0.0,7.331493023312185e-05,1.265059209369495e-06,3.074253478305967e-06,6.7121429959935195e-06,9.48934849965236e-07,7.786938768365851e-09,4.845235740088023e-10
5.935695793664215e-10,0.05595639656,0.054,0.0,0.0,0.029649701766995596,0.8799624993678498,4.2706769286274997e-08,0.0,0.0,0.06599092861272686,0.0,7.495005106972537e-05,1.2571711963289843e-06,3.095579635109272e-06,6.847796331433171e-06,9.664197453976118e-07,7.995409070492378e-09,5.110521860113366e-10
6.052699448034326e-10,0.05595639656,0.054,0.0,0.0,0.029648081214160113,0.8799617623072877,4.528416519047468e-08,0.0,0.0,0.06599079842463607,0.0,7.642138256390245e-05,1.2502785562235937e-06,3.1144006513842236e-06,6.9693244721321975e-06,9.819723356148055e-07,8.183145261660347e-09,5.355502132500319e-10
6.169703102404438e-10,0.05595639656,0.054,0.0,0.0,0.02964646177702639,0.8799610253278856,4.7962959181928186e-08,0.0,0.0,0.06599066873787109,0.0,7.789244969386956e-05,1.2435756921485018e-06,3.1328710098226993e-06,7.090329714456746e-06,9.973567223352757e-07,8.37094302182564e-09,5.606328054000964e-10
6.286706756774549e-10,0.05595639656,0.054,0.0,0.0,0.029644843448144186,0.8799602884295834,5.074492896951845e-08,0.0,0.0,0.06599053954538572,0.0,7.936325084977545e-05,1.2370571584237797e-06,3.1509927723607065e-06,7.210819045458808e-06,1.01257841042507e-06,8.558759470610462e-09,5.862947518469154e-10
6.40371041114466e-10,0.05595639656,0.054,0.0,0.0,0.02964322622031585,0.879959551612322,5.363182311479092e-08,0.0,0.0,0.06599041084031318,0.0,8.083378444970745e-05,1.2307177563297656e-06,3.168767899406378e-06,7.33079922914348e-06,1.0276427013875255e-06,8.746552594299703e-09,6.125304373428278e-10
6.520714065514772e-10,0.05595639656,0.054,0.0,0.0,0.029641610086573494,0.879958814876042,5.66253599554042e-08,0.0,0.0,0.06599028261595599,0.0,8.230404894079501e-05,1.224552522413947e-06,3.1861982614476336e-06,7.450276817674107e-06,1.0425547039413764e-06,8.934281232010394e-09,6.393338531880099e-10
6.637717719884883e-10,0.05595639656,0.054,0.0,0.0,0.029639995040158844,0.8799580782206846,5.972722656844653e-08,0.0,0.0,0.0659901548657773,0.0,8.37740428002702e-05,1.218556716831423e-06,3.2032856493536246e-06,7.569258161916201e-06,1.0573193439692293e-06,9.12190506245687e-09,6.666986085173992e-10
6.754721374254995e-10,0.05595639656,0.054,0.0,0.0,0.029638381074505105,0.8799573416461913,6.293907777265503e-08,0.0,0.0,0.06599002758339291,0.0,8.52437645364883e-05,1.2127258118560348e-06,3.22003178361392e-06,7.687749421374337e-06,1.0719413738882372e-06,9.309384590184914e-09,6.946179416113689e-10
6.871725028625106e-10,0.05595639656,0.054,0.0,0.0,0.029636768183220797,0.8799566051525043,6.62625351703193e-08,0.0,0.0,0.06598990076256439,0.0,8.671321268990647e-05,1.2070554806681204e-06,3.2364383226384866e-06,7.805756573532372e-06,1.0864253814524716e-06,9.49668113189374e-09,7.230847310865663e-10
6.988728682995218e-10,0.05595639656,0.054,0.0,0.0,0.029635156360074934,0.8799558687395655,6.96991862278683e-08,0.0,0.0,0.0659897743971928,0.0,8.818238583402217e-05,1.201541586570354e-06,3.2525068703518455e-06,7.923285422639545e-06,1.1007757980273511e-06,9.68375680326477e-09,7.520915071687332e-10
