Time (s),Volume (m^3),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),OX(10),H2NX(28),HX(9),H3NX(29),HNX(49),HOX(13),H2OX(14),NX(59),NOX2(76),NOX(27),N2X2(25)
2.988216684667456e-09,0.05595639656,0.054,0.0,0.0,0.029333386529168153,0.8798132773626047,2.9687970306928898e-06,1.0340710795838989e-10,1.680145198970916e-17,0.06596976202486102,0.0,0.0003703957751983098,1.2926972021875e-06,2.762307144802366e-06,2.5343562296492216e-05,3.3556700573702123e-06,2.8746840201704883e-08,6.76300967153077e-09,2.0042109987271973e-07,9.401748932220053e-09,3.57909617374948e-08,1.1247907969640923e-10
3.0113131884743923e-09,0.05595639656,0.054,0.0,0.0,0.029330421631468925,0.8798118535928556,3.0122545424433565e-06,1.0753705987261055e-10,1.730412375723344e-17,0.06596958730159133,0.0,0.0003731987025521162,1.29703261179243e-06,2.749243346902321e-06,2.5481208578125355e-05,3.3842446905613955e-06,2.881532587157417e-08,6.7959099336821555e-09,2.0351896942761276e-07,9.619496525612143e-09,3.662646104764934e-08,1.1626353293843694e-10
3.0344096922813287e-09,0.05595639656,0.054,0.0,0.0,0.029327457686158704,0.8798104301131809,3.0558679100299016e-06,1.1180559618400747e-10,1.781849620024947e-17,0.06596941293323255,0.0,0.00037600087604861194,1.3013422254466603e-06,2.736333018900513e-06,2.5618306846496004e-05,3.4129857737476994e-06,2.8883354033017968e-08,6.828672616047268e-09,2.0665034801965856e-07,9.84102571680109e-09,3.7476626036156566e-08,1.2015538893492355e-10
3.057506196088265e-09,0.05595639656,0.054,0.0,0.0,0.029324494691593414,0.8798090069234582,3.099636535066092e-06,1.1621664064174625e-10,1.8344774122414617e-17,0.065969238918395,0.0,0.0003788022962758406,1.3056252755948985e-06,2.7235757531484964e-06,2.5754859863417225e-05,3.441892281305608e-06,2.895095133101677e-08,6.861308833280012e-09,2.0981542550725506e-07,1.0066380544757889e-08,3.834163093131204e-08,1.2415720365550218e-10
3.0806026998952015e-09,0.05595639656,0.054,0.0,0.0,0.029321532646421167,0.8798075840235647,3.1435598869739064e-06,1.2077421008463327e-10,1.8883164748761115e-17,0.06596906525574216,0.0,0.0003816029637554311,1.309881061290471e-06,2.7109709717964814e-06,2.5890870321563347e-05,3.470963139602672e-06,2.9018142811069107e-08,6.893829071517497e-09,2.1301438830889593e-07,1.0295605132414521e-08,3.922165036288241e-08,1.282715785827035e-10
3.103699203702138e-09,0.05595639656,0.054,0.0,0.0,0.029318571549561415,0.8798061614133778,3.187637498643694e-06,1.2548241608939784e-10,1.9433877731170928e-17,0.06596889194398663,0.0,0.0003844028789469436,1.314108945969361e-06,2.698517939073038e-06,2.6026340847837345e-05,3.5001972299357977e-06,2.908495197642594e-08,6.926243204403974e-09,2.162474194357551e-07,1.0528743681770958e-08,4.0116859343247766e-08,1.3250116103242065e-10
3.1267957075090743e-09,0.05595639656,0.054,0.0,0.0,0.029315611400185012,0.8798047390927748,3.2318689622392963e-06,1.3034546663042968e-10,1.9997125153556112e-17,0.06596871898188626,0.0,0.0003872020422520591,1.318308355182898e-06,2.686215773126363e-06,2.616127400666807e-05,3.5295933914124884e-06,2.9151400845721074e-08,6.958560510010923e-09,2.1951469852270978e-07,1.0765840469511849e-08,4.1027433252740996e-08,1.3684864446840226e-10
3.1498922113160107e-09,0.05595639656,0.054,0.0,0.0,0.02931265219769487,0.8798033170616342,3.2762539251497265e-06,1.3536766775074703e-10,2.0573121536820056e-17,0.06596854636824027,0.0,0.00039000045401862027,1.3224787742988448e-06,2.6740634574234985e-06,2.6295672303232394e-05,3.5591504237702918e-06,2.9217510010772204e-08,6.990789688864708e-09,2.2281640186390468e-07,1.1006939842751546e-08,4.1953547823204326e-08,1.4131676881151237e-10
3.172988715122947e-09,0.05595639656,0.054,0.0,0.0,0.029309693941707474,0.8798018953198329,3.320792086089373e-06,1.405534252440013e-10,2.116208384361379e-17,0.0659683741018858,0.0,0.0003927981145445202,1.3266197461780624e-06,2.6620598517029874e-06,2.6429538186598033e-05,3.5888670901301567e-06,2.928329869435325e-08,7.022938882437861e-09,2.2615270245287522e-07,1.125208621473416e-08,4.289537911966526e-08,1.459083207440651e-10
3.1960852189298836e-09,0.05595639656,0.054,0.0,0.0,0.029306736632035174,0.8798004738672492,3.365483191348438e-06,1.459072463473429e-10,2.1764231482858098e-17,0.0659682021816943,0.0,0.0003955950240814367,1.3307308688344206e-06,2.650203702477154e-06,2.6562874052783026e-05,3.618742119679819e-06,2.934878480775527e-08,7.0550156919329444e-09,2.2952377002333695e-07,1.1501324060693318e-08,4.385310352357454e-08,1.5062613400889856e-10
