Time (s),Volume (m^3),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),OX(10),H2NX(28),HX(9),H3NX(29),HNX(49)
8.951755578287442e-13,0.05595639656,0.054,0.0,0.0,0.029736667129027033,0.8799999432715871,0.0,0.0,0.0,0.06599997182256322,0.0,1.1345682580996429e-07,1.8527971520956533e-08,1.852814526630469e-08,9.649378375753767e-09,8.687267406116986e-14
1e-12,0.05595639656,0.054,0.0,0.0,0.02973664837463766,0.879999936628769,0.0,0.0,0.0,0.06599996852329483,0.0,1.267424619239855e-07,2.069738808789249e-08,2.0697630141892553e-08,1.0779196037224411e-08,1.2102700001587685e-13
1.118969450250187e-12,0.05595639656,0.054,0.0,0.0,0.029736627089703736,0.8799999290895794,0.0,0.0,0.0,0.06599996477891729,0.0,1.4182084108252977e-07,2.3159468390613167e-08,2.315980736061769e-08,1.2061444822370507e-08,1.6948500224871439e-13
1.5665572350930726e-12,0.05595639656,0.054,0.0,0.0,0.02973654701323339,0.8799999007256794,0.0,0.0,0.0,0.06599995069280229,0.0,1.9854864109879115e-07,3.2421433387153116e-08,3.2422362695046835e-08,1.6885299649467765e-08,4.646539468492233e-13
2.014145019935958e-12,0.05595639656,0.054,0.0,0.0,0.029736466940272526,0.879999872361933,0.0,0.0,0.0,0.06599993660856031,0.0,2.5527613379395923e-07,4.168161454639305e-08,4.168358889413142e-08,2.170883794165106e-08,9.871738691743274e-13
2.9093205896217295e-12,0.05595639656,0.054,0.0,0.0,0.029736306807793815,0.8799998156349013,0.0,0.0,0.0,0.06599990844715267,0.0,3.6873019722643543e-07,6.019464946620094e-08,6.020059653062445e-08,3.135522430447643e-08,2.9735322117490135e-12
3.7149786023389234e-12,0.05595639656,0.054,0.0,0.0,0.029736162707871203,0.8799997645810981,0.0,0.0,0.0,0.06599988311194428,0.0,4.708378034198891e-07,7.684532723249663e-08,7.685770455007986e-08,4.0036539813707176e-08,6.188658791601121e-12
4.520636615056118e-12,0.05595639656,0.054,0.0,0.0,0.029736018630633344,0.8799997135277928,0.0,0.0,0.0,0.06599985778846132,0.0,5.729444141691453e-07,9.34825553737352e-08,9.350484867574804e-08,4.871783665933198e-08,1.1146651006431075e-11
5.245728826501592e-12,0.05595639656,0.054,0.0,0.0,0.029735888984007464,0.8799996675802434,0.0,0.0,0.0,0.06599983500909821,0.0,6.64839512872997e-07,1.0844219388822586e-07,1.0847701277210455e-07,5.6531298434610885e-08,1.740944193935133e-11
5.970821037947067e-12,0.05595639656,0.054,0.0,0.0,0.029735759362248468,0.8799996216330972,0.0,0.0,0.0,0.0659998122424789,0.0,7.567338055436249e-07,1.2338653806807179e-07,1.2343785977889395e-07,6.43453221648465e-08,2.5660855411094383e-11
6.623404028247994e-12,0.05595639656,0.054,0.0,0.0,0.02973564272645506,0.87999958028101,0.0,0.0,0.0,0.06599979176468174,0.0,8.394379799247338e-07,1.3682165783556696e-07,1.368916816460125e-07,7.137864850700564e-08,3.5011905222786685e-11
7.275987018548921e-12,0.05595639656,0.054,0.0,0.0,0.02973552611550262,0.8799995389292491,0.0,0.0,0.0,0.06599977129955656,0.0,9.221415016877812e-07,1.5024120551505377e-07,1.5033398714530327e-07,7.841284708869306e-08,4.6390815124758385e-11
7.928570008849847e-12,0.05595639656,0.054,0.0,0.0,0.029735409531603148,0.8799994975778144,0.0,0.0,0.0,0.06599975084820947,0.0,1.004844370980377e-06,1.6364368276472452e-07,1.6376367024025015e-07,8.544811400527145e-08,5.999373776281739e-11
